172.16.5.11 bldmpmas01.banglalink.net
172.16.5.12 bldmpmas02.banglalink.net
172.16.5.13 bldmpmas03.banglalink.net
172.16.5.14 bldmpedg01.banglalink.net
172.16.5.16 bldmphdf01.banglalink.net
172.16.5.17 bldmphdf02.banglalink.net
172.16.5.18 bldmphdf03.banglalink.net
172.16.5.26 bldmpcas01.banglalink.net
172.16.5.27 bldmpcas02.banglalink.net
172.16.5.28 bldmpcas03.banglalink.net
172.16.5.31 bldmpsec01.banglalink.net
172.16.5.32 bldmpsec02.banglalink.net
172.16.5.33 bldmpign01.banglalink.net
172.16.5.34 bldmpign02.banglalink.net
172.16.5.35 bldmpign03.banglalink.net
172.16.5.36 bldmpign04.banglalink.net
172.16.5.37 bldmpign05.banglalink.net
172.16.5.38 bldmpign06.banglalink.net
172.16.5.39 bldmpign07.banglalink.net
172.16.5.40 bldmpign08.banglalink.net
172.16.5.51 bldmpapi01.banglalink.net
172.16.5.52 bldmpapi02.banglalink.net
172.16.5.53 bldmpapi03.banglalink.net
172.16.5.54 bldmpapi04.banglalink.net
172.16.5.58 bldmpr01.banglalink.net
172.16.5.60 bldmpdat01.banglalink.net
172.16.5.61 bldmpdat02.banglalink.net
172.16.5.63 bldmpdat04.banglalink.net
172.16.5.64 bldmpdat05.banglalink.net
172.16.5.65 bldmpdat06.banglalink.net
172.16.5.66 bldmpdat07.banglalink.net
172.16.5.67 bldmpdat08.banglalink.net
172.16.5.68 bldmpdat09.banglalink.net
172.16.5.69 bldmpdat10.banglalink.net
172.16.5.70 bldmpdat11.banglalink.net
172.16.5.71 bldmpdat12.banglalink.net
172.16.5.72 bldmpdat13.banglalink.net
172.16.5.73 bldmpdat14.banglalink.net
172.16.5.74 bldmpdat15.banglalink.net
172.16.5.75 bldmpdat16.banglalink.net
172.16.5.76 bldmpdat17.banglalink.net
172.16.5.77 bldmpdat18.banglalink.net
172.16.5.78 bldmpdat19.banglalink.net
172.16.5.79 bldmpdat20.banglalink.net
172.16.5.80 bldmpdat21.banglalink.net
172.16.5.81 bldmpdat22.banglalink.net
172.16.5.82 bldmpdat23.banglalink.net
172.16.5.83 bldmpdat24.banglalink.net
172.16.5.84 bldmpdat25.banglalink.net
172.16.5.85 bldmpdat26.banglalink.net
172.16.5.86 bldmpdat27.banglalink.net
172.16.5.87 bldmpdat28.banglalink.net
172.16.5.88 bldmpdat29.banglalink.net
172.16.5.89 bldmpdat30.banglalink.net
