172.16.60.66 djezzy-ignite1.otalgerie.com
172.16.60.67 djezzy-ignite2.otalgerie.com
172.16.60.68 djezzy-ignite3.otalgerie.com
172.16.60.69 djezzy-ignite4.otalgerie.com
172.16.60.70 djezzy-ignite5.otalgerie.com
172.16.60.71 djezzy-ignite6.otalgerie.com
172.16.60.72 djezzy-hdpm1.otalgerie.com
172.16.60.73 djezzy-hdpm2.otalgerie.com
172.16.60.74 djezzy-hdpm3.otalgerie.com
172.16.60.75 djezzy-rserver1.otalgerie.com
172.16.60.76 djezzy-edge1.otalgerie.com
172.16.60.77 djezzy-hdpd1.otalgerie.com
172.16.60.78 djezzy-hdpd2.otalgerie.com
172.16.60.79 djezzy-hdpd3.otalgerie.com
172.16.60.80 djezzy-hdpd4.otalgerie.com
172.16.60.81 djezzy-hdpd5.otalgerie.com
172.16.60.82 djezzy-hdpd6.otalgerie.com
172.16.60.83 djezzy-hdpd7.otalgerie.com
172.16.60.84 djezzy-hdpd8.otalgerie.com
172.16.60.85 djezzy-hdpd9.otalgerie.com
172.16.60.86 djezzy-hdpd10.otalgerie.com
172.16.60.87 djezzy-hdpd11.otalgerie.com
172.16.60.88 djezzy-hdpd12.otalgerie.com
172.16.60.89 djezzy-hdpd13.otalgerie.com
172.16.60.90 djezzy-hdpd14.otalgerie.com
172.16.60.91 djezzy-landing.otalgerie.com
172.16.60.92 djezzy-kafka1.otalgerie.com
172.16.60.93 djezzy-kafka2.otalgerie.com
172.16.60.94 djezzy-cassandra1.otalgerie.com
172.16.60.95 djezzy-cassandra2.otalgerie.com
172.16.60.96 djezzy-cassandra3.otalgerie.com
172.16.60.97 djezzy-hdf1.otalgerie.com
172.16.60.98 djezzy-hdf2.otalgerie.com
172.16.60.99 djezzy-hdf3.otalgerie.com
172.16.60.100 djezzy-kdc1.otalgerie.com
172.16.60.101 djezzy-kdc2.otalgerie.com
